ID,Latitude,Longitude
1,41.033959,-77.515672
2,41.785524,-80.853175
3,41.128748,-80.769934
4,41.465085,-82.060677
6,39.997137,-81.576912
8,39.557944,-82.957098
9,39.542654,-84.290451
11,40.959842,-80.660301
12,41.52279,-83.461466
13,41.029196,-81.907526
14,40.265454,-82.92396
15,41.724105,-83.50768
16,39.522877,-83.845787
17,42.303023,-85.082396
21,42.301749,-83.876931
23,42.883291,-85.07378
24,41.9244,-83.365974
26,41.799049,-83.694294
28,40.112722,-85.565895
29,41.744075,-84.999268
30,39.82131,-85.916723
31,41.567506,-87.472648
34,40.766604,-87.123511
35,41.736021,-86.336832
36,41.448527,-87.010376
37,39.551888,-86.045929
39,41.427909,-87.756776
40,42.871496,-87.94443
41,38.08613,-83.898231
43,41.619597,-90.784545
44,38.939676,-92.774373
46,36.716046,-86.525849
47,38.277161,-84.560514
48,37.596019,-85.864919
49,36.678258,-87.404384
50,38.457185,-85.29968
51,36.320638,-82.831823
52,35.997841,-86.594834
53,35.882357,-87.801889
56,35.49846,-80.560968
57,36.066066,-79.309196
58,36.523299,-77.587281
60,33.417352,-80.666224
61,34.509127,-81.858031
62,34.267072,-79.701956
63,34.710541,-82.497322
64,33.03876,-80.142235
65,33.479981,-82.131155
66,34.119723,-83.761654
67,34.27204,-84.807653
68,32.490477,-82.934364
71,32.188259,-81.195549
72,32.072302,-81.199597
75,30.872861,-88.046869
76,33.172903,-87.478517
77,32.272694,-90.193042
79,30.451957,-90.957431
4555,33.178927,-87.446215
81,40.964297,-80.1408
4556,28.874241,-82.090056
82,30.085472,-90.444632
4557,34.389816,-83.226751
4558,34.558868,-84.935939
4559,33.721688,-84.903623
4560,33.210567,-84.055973
4561,30.754816,-83.272851
87,30.283979,-81.984213
4562,30.760224,-81.655675
88,28.359603,-80.792764
4563,40.35268,-76.726677
89,27.528434,-82.512008
90,27.413892,-80.400146
91,30.065564,-81.493909
4566,35.165687,-81.450885
92,29.268327,-82.191583
4567,34.913413,-80.980307
4568,33.604183,-81.840895
94,26.894739,-82.009275
4569,32.269364,-81.080303
95,28.873645,-82.095207
96,27.699069,-80.901502
97,39.902494,-84.192599
4576,33.269245,-80.567296
102,41.618089,-109.234507
4578,34.508233,-81.001222
4579,33.632765,-80.878311
4580,34.240391,-81.459582
106,35.957887,-84.001873
4581,34.192802,-80.282344
108,40.433413,-109.499123
109,40.433703,-109.499531
4584,34.344825,-79.534595
114,35.986242,-85.012329
118,34.608348,-92.532959
4596,36.108522,-83.338959
4597,36.177294,-85.949281
4598,35.544914,-84.565053
4599,35.233006,-85.824498
130,41.276113,-81.625945
131,41.040587,-93.794771
132,35.874203,-84.459307
133,43.2154,-121.784536
134,45.496045,-94.149032
137,41.39916,-122.376149
140,40.293977,-109.989761
141,41.269122,-110.94139
144,33.524163,-82.033391
4619,36.938631,-80.99214
145,36.176497,-94.19317
146,42.497613,-73.674693
147,40.740116,-114.066598
4622,36.675295,-78.927745
149,35.390091,-89.41045
150,39.634043,-77.806785
151,46.954224,-122.935252
152,38.492043,-85.773481
154,35.615131,-119.658782
156,37.255317,-87.448829
157,33.116472,-95.633873
159,37.499802,-77.089187
163,32.342081,-108.681486
164,43.797536,-90.0509
165,39.149186,-88.530599
167,37.835265,-94.324785
4642,38.96694,-78.437928
168,38.862003,-121.950277
171,40.12375,-87.779499
174,34.467802,-89.006085
4649,37.932485,-79.23143
4651,36.607006,-77.56102
179,39.629071,-77.783875
180,35.238487,-111.822552
4656,37.184797,-77.318376
190,40.636962,-74.968461
192,31.427922,-83.517008
195,45.66908,-120.835729
196,35.403898,-94.521665
198,41.341979,-86.264277
199,32.544996,-93.516474
200,34.991618,-117.543104
206,32.727247,-97.825168
208,38.487887,-90.758182
209,31.03603,-104.829483
210,41.091721,-74.155383
211,34.728256,-114.315209
213,39.973832,-83.100082
219,35.999273,-83.777618
220,42.066982,-72.106667
222,42.065268,-72.108756
